Paragraph,CF – Contribution flow,CT – Choose a task,TC – Talk to the community,BW – Build local workspace,DC – Deal with the code,SC – Submit the changes,Filename,Paragraph Index,Document
Contributing,0,0,0,0,0,0,0xAX@linux-insides.xlsx,2,contributing
"If you want to contribute to linux-insides, please follow these simple rules:",1,0,0,0,0,0,0xAX@linux-insides.xlsx,3,contributing
1.  Press the fork button:,1,0,0,0,0,0,0xAX@linux-insides.xlsx,4,contributing
fork,1,0,0,0,0,0,0xAX@linux-insides.xlsx,5,contributing
2.  Clone the repository from your account with:,1,0,0,0,0,0,0xAX@linux-insides.xlsx,6,contributing
git clone git@github.com:your_github_username/linux-insides.git,1,0,0,0,0,0,0xAX@linux-insides.xlsx,7,contributing
3.  Create a new branch with:,1,0,0,0,0,0,0xAX@linux-insides.xlsx,8,contributing
"git checkout -b ""linux-bootstrap-1-fix""",1,0,0,0,0,0,0xAX@linux-insides.xlsx,9,contributing
You can name it however you want.,1,0,0,0,0,0,0xAX@linux-insides.xlsx,10,contributing
4.  Make your changes.,1,0,0,0,0,0,0xAX@linux-insides.xlsx,11,contributing
5.  Don't forget to add yourself in contributors.md.,1,0,0,0,0,0,0xAX@linux-insides.xlsx,12,contributing
"6.  Commit and push your changes, then make a pull request from Github.",1,0,0,0,0,0,0xAX@linux-insides.xlsx,13,contributing
IMPORTANT,0,0,0,0,0,0,0xAX@linux-insides.xlsx,14,contributing
"Please, don't forget to update your fork. While you made your changes, the content of the master branch can change because other pull requests were merged and it can create conflicts. This is why you have to rebase on master every time before pushing your changes and check that your branch doesn't have any conflicts with master.",0,0,0,0,0,1,0xAX@linux-insides.xlsx,15,contributing
Thank you.,0,0,0,0,0,0,0xAX@linux-insides.xlsx,16,contributing
0x Contribution Guide,0,0,0,0,0,0,0xProject@0x-monorepo.xlsx,2,contributing
We welcome contributions from anyone on the internet and are grateful for even the smallest contributions. This document will help get you setup to start contributing back to 0x.,0,0,0,0,0,0,0xProject@0x-monorepo.xlsx,3,contributing
Getting started,1,0,0,0,0,0,0xProject@0x-monorepo.xlsx,4,contributing
1.  Fork 0xproject/0x-monorepo,1,0,0,0,0,0,0xProject@0x-monorepo.xlsx,5,contributing
2.  Clone your fork,1,0,0,0,0,0,0xProject@0x-monorepo.xlsx,6,contributing
3.  Follow the installation & build steps in the repo's top-level README.,1,0,0,0,0,0,0xProject@0x-monorepo.xlsx,7,contributing
4.  Setup the recommended Development Tooling.,1,0,0,0,0,0,0xProject@0x-monorepo.xlsx,8,contributing
5.  Open a PR with the [WIP] flag against the development branch and describe the change you are intending to undertake in the PR description. (see our branch naming conventions),1,0,0,0,0,0,0xProject@0x-monorepo.xlsx,9,contributing
"Before removing the [WIP] tag and submitting the PR for review, make sure:",0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,10,contributing
- It passes our linter checks (yarn lint),0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,11,contributing
- It is properly formatted with Prettier (yarn prettier),0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,12,contributing
- It passes our continuous integration tests (See: Enabling code coverage checks on your fork for instructions on getting the submit-coverage test to pass on forks),0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,13,contributing
- You've created/updated the corresponding CHANGELOG entries.,0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,14,contributing
- Your changes have sufficient test coverage (e.g regression tests have been added for bug fixes),0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,15,contributing
Branch structure,0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,16,contributing
We have two main branches:,0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,17,contributing
- master represents the most recently released (published on npm) version of the codebase.,0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,18,contributing
- development represents the current development state of the codebase.,0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,19,contributing
ALL PRs should be opened against development.,0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,20,contributing
"Branch names should be prefixed with fix, feature or refactor.",0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,21,contributing
- e.g fix/missing-import,0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,22,contributing
"- If the PR only edits a single package, add it's name too",0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,23,contributing
- e.g fix/subproviders/missing-import,0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,24,contributing
CHANGELOGs,0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,25,contributing
"At 0x we use Semantic Versioning for all our published packages. If a change you make corresponds to a semver bump, you must modify the package's CHANGELOG.json file accordingly.",0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,26,contributing
"Each CHANGELOG entry that corresponds to a published package will have a timestamp. If no entry exists without a timestamp, you must first create a new one:",0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,27,contributing
"{
""version"": ""1.0.1"", <- The updated package version
""changes"": [
{
""note"": """", <- Describe your change
""PR"": 100 <- Your PR number
}
]
},",0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,28,contributing
"If an entry without a timestamp already exists, this means other changes have been introduced by other collaborators since the last publish. Add your changes to the list of notes and adjust the version if your PR introduces a greater semver change (i.e current changes required a patch bump, but your changes require a major version bump).",0,0,0,0,0,1,0xProject@0x-monorepo.xlsx,29,contributing
Development Tooling,0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,30,contributing
We strongly recommend you use the VSCode text editor since most of our code is written in TypeScript and it offers amazing support for the language.,0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,31,contributing
Linter,0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,32,contributing
We use TSLint with custom configs to keep our code-style consistent.,0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,33,contributing
"Use yarn:lint to lint the entire monorepo, and PKG={PACKAGE_NAME} yarn lint to lint a specific package.",0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,34,contributing
"If you want to change a rule, or add a custom rule, please make these changes to our tslint-config package. All other packages have it as a dependency.",0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,35,contributing
Integrate it into your text editor:,0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,36,contributing
- VSCode: vscode-tslint,0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,37,contributing
- Atom: linter-tslint,0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,38,contributing
Auto-formatter,0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,39,contributing
We use Prettier to auto-format our code. Be sure to either add a text editor integration or a pre-commit hook to properly format your code changes.,0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,40,contributing
"If using the Atom text editor, we recommend you install the following packages:",0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,41,contributing
- VSCode: prettier-vscode,0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,42,contributing
- Atom: prettier-atom,0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,43,contributing
Unenforced coding conventions,0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,44,contributing
A few of our coding conventions are not yet enforced by the linter/auto-formatter. Be careful to follow these conventions in your PR's.,0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,45,contributing
"1.  Unused anonymous function parameters should be named with an underscore + number (e.g _1, _2, etc...)",0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,46,contributing
2.  There should be a new-line between methods in a class and between test cases.,0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,47,contributing
"3.  If a string literal has the same value in two or more places, it should be a single constant referenced in both places.",0,0,0,0,1,0,0xProject@0x-monorepo.xlsx,48,contributing
